Distance,"Avg RDF ('B', 'Fe')","Avg RDF ('Cr', 'Fe')","Avg RDF ('Fe', 'Fe')"
0.25,0.0,0.0,0.0
0.75,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.75,0.5813088936555787,0.0,0.0
2.25,2.3838636633267085,1.8588376543743805,1.9084323330442676
2.75,0.15928363617366192,2.013618532461592,1.6338133616877466
3.25,0.6258871860824358,0.1874444548153223,0.17253316622228324
3.75,1.3003552432043368,0.6570406822226748,0.8447467332582217
4.25,1.152775951704286,1.203119029968987,1.120643668751407
4.75,0.942050559091128,1.45692194515579,1.5927944125585412

Species,SRO
B-Fe,0.013885284812482857,0.013885284812482857,0.013885284812482857
Cr-Fe,-0.08737638106850931,-0.08737638106850931,-0.08737638106850931
Fe-Fe,-0.10459226018257484,-0.10459226018257484,-0.10459226018257484
