Interstitial Type,Ref. Compound,Content (at%),Excess Energy (meV/atom),Sigma Excess (meV/atom)
N,CrC,1,6.212526118984975,1.807583728022337
N,FeN,1,-2.8167020725177667,1.807583728022337
N,MoN,1,0.8223717721793841,1.807583728022337
N,NbN,1,20.256801874294325,1.807583728022337
N,NiN,1,-8.263891743275158,1.807583728022337
N,TiN,1,30.52807000064613,1.807583728022337
N,CrC,2,11.490035921647946,1.724636296872825
N,FeN,2,-5.410301521925292,1.724636296872825
N,MoN,2,1.4010864121332776,1.724636296872825
N,NbN,2,37.777221756500495,1.724636296872825
N,NiN,2,-15.606006138359966,1.724636296872825
N,TiN,2,57.00233088289564,1.724636296872825
N,CrC,4,28.76943550759626,1.7447977734931355
N,FeN,4,-5.328706550414652,1.7447977734931355
N,MoN,4,8.413958302473903,1.7447977734931355
N,NbN,4,81.80649467252975,1.7447977734931355
N,NiN,4,-25.899572993375013,1.7447977734931355
N,TiN,4,120.59509899840783,1.7447977734931355
N,CrC,6,45.51152357853944,2.1550044819191165
N,FeN,6,-4.208374890827189,2.1550044819191165
N,MoN,6,15.830367983247527,2.1550044819191165
N,NbN,6,122.84703330537384,2.1550044819191165
N,NiN,6,-34.20359836167903,2.1550044819191165
N,TiN,6,179.40628704917137,2.1550044819191165
N,CrC,8,63.70566892112363,2.125408947136894
N,FeN,8,-1.066704375476425,2.125408947136894
N,MoN,8,25.038677449344593,2.125408947136894
N,NbN,8,164.45415512721732,2.125408947136894
N,NiN,8,-40.14284635444669,2.125408947136894
N,TiN,8,238.13646763490505,2.125408947136894
N,CrC,10,80.67077725607628,1.728763752781899
N,FeN,10,1.3846492839543076,1.728763752781899
N,MoN,10,33.33954824444235,1.728763752781899
N,NbN,10,203.99430183585574,1.728763752781899
N,NiN,10,-46.44740990915956,1.728763752781899
N,TiN,10,294.1868478464103,1.728763752781899
N,CrC,20,171.04926603730587,7.1024382313374606
N,FeN,20,24.93597936266027,7.1024382313374606
N,MoN,20,83.82440577332844,7.1024382313374606
N,NbN,20,398.31733879511313,7.1024382313374606
N,NiN,20,-63.21184114358841,7.1024382313374606
N,TiN,20,564.529634290108,7.1024382313374606
